"geno","male","female","pool"
"UGP202000065-15","LUW1274","Mayai","A"
"UGP202000065-8","LUW1274","Mayai","A"
"UGP202000065-18","LUW1274","Mayai","A"
"Raihna","0","0","B"
"KML942","0","0","B"
"LUW1257","0","0","B"
"KRE691","0","0","B"
"MBR536","0","0","B"
"MLE179","0","0","B"
"ARA209","0","0","B"
"Sowola","0","0","B"
"APA356","0","0","B"
"MKN1210","0","0","B"
"NASPOT_5","0","0","B"
"SPK004_CIP","0","0","B"
"RAK848","0","0","B"
"MSK1094","0","0","B"
"NASPOT_11","0","0","B"
"SRT43","0","0","B"
"Resisto","0","0","B"
"CIP199062.1","0","0","B"
"MLE199","0","0","B"
"Carrot_C","0","0","B"
"MPG1128","0","0","B"
"KBL648","0","0","B"
"RAK819","0","0","B"
"Ejumula","0","0","B"
"NASPOT_9_O","0","0","B"
"Tororo3","0","0","B"
"LUW1274","0","0","B"
"NASPOT_7","0","0","B"
"NASPOT_10_O","0","0","B"
"KML872","0","0","B"
"Oguroiwe","0","0","B"
"APA323","0","0","B"
"Otada","0","0","B"
"RAK835","0","0","B"
"NK318L","0","0","B"
"MLE194","0","0","B"
"KMI61","0","0","B"
"Jewel","0","0","B"
"Mayai","0","0","B"
"UGP202000147-9","KML942","MLE179","B"
"UGP202000147-13","KML942","MLE179","B"
"UGP202000147-3","KML942","MLE179","B"
"UGP202000146-21","KML942","LUW1257","B"
"UGP202000157-22","KRE691","MSK1094","B"
"UGP202000156-3","KRE691","SPK004_CIP","B"
"UGP202000159-6","MBR536","Resisto","B"
"UGP202000159-17","MBR536","Resisto","B"
"UGP202000159-3","MBR536","Resisto","B"
"UGP202000158-4","MBR536","MSK1094","B"
"UGP202000158-1","MBR536","MSK1094","B"
"UGP202000158-22","MBR536","MSK1094","B"
"UGP202000179-1","MKN1210","ARA209","B"
"UGP202000179-7","MKN1210","ARA209","B"
"UGP202000179-6","MKN1210","ARA209","B"
"UGP202000179-18","MKN1210","ARA209","B"
"UGP202000180-7","MKN1210","LUW1257","B"
"UGP202000180-12","MKN1210","LUW1257","B"
"UGP202000180-14","MKN1210","LUW1257","B"
"UGP202000180-2","MKN1210","LUW1257","B"
"UGP202000180-19","MKN1210","LUW1257","B"
"UGP202000180-6","MKN1210","LUW1257","B"
"UGP202000180-21","MKN1210","LUW1257","B"
"UGP202000180-17","MKN1210","LUW1257","B"
"UGP202000180-5","MKN1210","LUW1257","B"
"UGP202000180-18","MKN1210","LUW1257","B"
"UGP202000180-1","MKN1210","LUW1257","B"
"UGP202000180-8","MKN1210","LUW1257","B"
"UGP202000272-16","RAK848","CIP199062.1","B"
"UGP202000272-10","RAK848","CIP199062.1","B"
"UGP202000272-15","RAK848","CIP199062.1","B"
"UGP202000272-9","RAK848","CIP199062.1","B"
"UGP202000272-2","RAK848","CIP199062.1","B"
"UGP202000272-17","RAK848","CIP199062.1","B"
"UGP202000269-2","RAK848","ARA209","B"
"UGP202000269-8","RAK848","ARA209","B"
"UGP202000269-20","RAK848","ARA209","B"
"UGP202000269-21","RAK848","ARA209","B"
"UGP202000269-23","RAK848","ARA209","B"
"UGP202000271-13","RAK848","MLE179","B"
"UGP202000271-4","RAK848","MLE179","B"
"UGP202000271-14","RAK848","MLE179","B"
"UGP202000271-1","RAK848","MLE179","B"
"UGP202000216-3","NASPOT_11","CIP199062.1","B"
"UGP202000065-17","LUW1274","Mayai","A"
"UGP202000263-15","Oguroiwe","MPG1128","A"
"UGP202000263-6","Oguroiwe","MPG1128","A"
"UGP202000263-17","Oguroiwe","MPG1128","A"
"UGP202000262-13","Oguroiwe","Carrot_C","A"
"UGP202000262-4","Oguroiwe","Carrot_C","A"
"UGP202000262-6","Oguroiwe","Carrot_C","A"
"UGP202000262-8","Oguroiwe","Carrot_C","A"
"UGP202000262-20","Oguroiwe","Carrot_C","A"
