"geno","male","female","pool"
"UGP202000016-19","Ejumula","APA323","A"
"UGP202000013-14","Ejumula","KBL648","A"
"UGP202000012-10","Ejumula","KMI61","A"
"UGP202000018-7","Ejumula","RAK835","A"
"UGP202000054-13","NASPOT_9_O","MLE194","A"
"UGP202000047-2","NASPOT_9_O","Carrot_C","A"
"UGP202000048-7","NASPOT_9_O","Ejumula","A"
"UGP202000051-8","NASPOT_9_O","NASPOT_7","A"
"UGP202000052-10","NASPOT_9_O","KML872","A"
"UGP202000050-13","NASPOT_9_O","MPG1128","A"
"UGP202000048-6","NASPOT_9_O","Ejumula","A"
"UGP202000052-3","NASPOT_9_O","KML872","A"
"UGP202000047-11","NASPOT_9_O","Carrot_C","A"
"UGP202000050-7","NASPOT_9_O","MPG1128","A"
"UGP202000047-13","NASPOT_9_O","Carrot_C","A"
"UGP202000050-10","NASPOT_9_O","MPG1128","A"
"UGP202000048-22","NASPOT_9_O","Ejumula","A"
"UGP202000050-6","NASPOT_9_O","MPG1128","A"
"UGP202000054-16","NASPOT_9_O","MLE194","A"
"UGP202000048-5","NASPOT_9_O","Ejumula","A"
"UGP202000050-2","NASPOT_9_O","MPG1128","A"
"UGP202000050-8","NASPOT_9_O","MPG1128","A"
"UGP202000052-13","NASPOT_9_O","KML872","A"
"UGP202000048-1","NASPOT_9_O","Ejumula","A"
"UGP202000047-21","NASPOT_9_O","Carrot_C","A"
"UGP202000052-11","NASPOT_9_O","KML872","A"
"UGP202000050-18","NASPOT_9_O","MPG1128","A"
"UGP202000052-18","NASPOT_9_O","KML872","A"
"UGP202000047-5","NASPOT_9_O","Carrot_C","A"
"UGP202000055-4","Tororo3","KMI61","A"
"UGP202000062-17","Tororo3","RAK835","A"
"UGP202000059-17","Tororo3","KML872","A"
"UGP202000060-17","Tororo3","APA323","A"
"UGP202000062-1","Tororo3","RAK835","A"
"UGP202000056-8","Tororo3","KBL648","A"
"UGP202000055-11","Tororo3","KMI61","A"
"UGP202000059-12","Tororo3","KML872","A"
"UGP202000060-21","Tororo3","APA323","A"
"UGP202000055-14","Tororo3","KMI61","A"
"UGP202000062-6","Tororo3","RAK835","A"
"UGP202000055-10","Tororo3","KMI61","A"
"UGP202000063-10","Tororo3","MLE194","A"
"UGP202000056-5","Tororo3","KBL648","A"
"UGP202000059-5","Tororo3","KML872","A"
"UGP202000057-9","Tororo3","LUW1274","A"
"UGP202000063-19","Tororo3","MLE194","A"
"UGP202000055-8","Tororo3","KMI61","A"
"UGP202000056-12","Tororo3","KBL648","A"
"UGP202000059-8","Tororo3","KML872","A"
"UGP202000060-15","Tororo3","APA323","A"
"UGP202000059-2","Tororo3","KML872","A"
"UGP202000062-16","Tororo3","RAK835","A"
"UGP202000057-13","Tororo3","LUW1274","A"
"UGP202000055-19","Tororo3","KMI61","A"
"UGP202000064-2","LUW1274","Carrot_C","A"
"UGP202000067-3","LUW1274","Otada","A"
"UGP202000064-9","LUW1274","Carrot_C","A"
"UGP202000257-15","LUW1274","RAK835","A"
"UGP202000065-11","LUW1274","Mayai","A"
"UGP202000066-6","LUW1274","MPG1128","A"
"UGP202000064-22","LUW1274","Carrot_C","A"
"UGP202000064-15","LUW1274","Carrot_C","A"
"UGP202000065-3","LUW1274","Mayai","A"
"UGP202000064-10","LUW1274","Carrot_C","A"
"UGP202000065-20","LUW1274","Mayai","A"
"UGP202000067-12","LUW1274","Otada","A"
"UGP202000065-13","LUW1274","Mayai","A"
"UGP202000066-8","LUW1274","MPG1128","A"
"UGP202000064-7","LUW1274","Carrot_C","A"
"UGP202000065-22","LUW1274","Mayai","A"
"UGP202000066-9","LUW1274","MPG1128","A"
"UGP202000256-1","LUW1274","KBL648","A"
"UGP202000064-19","LUW1274","Carrot_C","A"
"UGP202000066-4","LUW1274","MPG1128","A"
"UGP202000066-3","LUW1274","MPG1128","A"
"UGP202000067-5","LUW1274","Otada","A"
"UGP202000066-12","LUW1274","MPG1128","A"
"UGP202000064-6","LUW1274","Carrot_C","A"
"UGP202000068-6","LUW1274","NK318L","A"
"UGP202000073-10","NASPOT_7","Otada","A"
"UGP202000069-8","NASPOT_7","Carrot_C","A"
"UGP202000070-14","NASPOT_7","MPG1128","A"
"UGP202000072-6","NASPOT_7","APA323","A"
"UGP202000071-5","NASPOT_7","KBL648","A"
"UGP202000069-5","NASPOT_7","Carrot_C","A"
"UGP202000070-10","NASPOT_7","MPG1128","A"
"UGP202000074-7","NASPOT_7","RAK835","A"
"UGP202000072-14","NASPOT_7","APA323","A"
"UGP202000070-13","NASPOT_7","MPG1128","A"
"UGP202000072-18","NASPOT_7","APA323","A"
"UGP202000073-1","NASPOT_7","Otada","A"
"UGP202000069-12","NASPOT_7","Carrot_C","A"
"UGP202000073-4","NASPOT_7","Otada","A"
"UGP202000069-3","NASPOT_7","Carrot_C","A"
"UGP202000074-3","NASPOT_7","RAK835","A"
"UGP202000075-4","NASPOT_7","NK318L","A"
"UGP202000075-16","NASPOT_7","NK318L","A"
"UGP202000071-9","NASPOT_7","KBL648","A"
"UGP202000070-12","NASPOT_7","MPG1128","A"
"UGP202000072-4","NASPOT_7","APA323","A"
"UGP202000072-13","NASPOT_7","APA323","A"
"UGP202000072-20","NASPOT_7","APA323","A"
"UGP202000070-18","NASPOT_7","MPG1128","A"
"UGP202000075-14","NASPOT_7","NK318L","A"
"UGP202000076-1","NASPOT_10_O","Ejumula","A"
"UGP202000259-5","NASPOT_10_O","Carrot_C","A"
"UGP202000077-4","NASPOT_10_O","RAK819","A"
"UGP202000261-11","NASPOT_10_O","NASPOT_7","A"
"UGP202000260-3","NASPOT_10_O","MPG1128","A"
"UGP202000261-3","NASPOT_10_O","NASPOT_7","A"
"UGP202000076-6","NASPOT_10_O","Ejumula","A"
"UGP202000077-17","NASPOT_10_O","RAK819","A"
"UGP202000076-22","NASPOT_10_O","Ejumula","A"
"UGP202000076-15","NASPOT_10_O","Ejumula","A"
"UGP202000259-6","NASPOT_10_O","Carrot_C","A"
"UGP202000259-12","NASPOT_10_O","Carrot_C","A"
"UGP202000076-19","NASPOT_10_O","Ejumula","A"
"UGP202000260-5","NASPOT_10_O","MPG1128","A"
"UGP202000076-8","NASPOT_10_O","Ejumula","A"
"UGP202000259-18","NASPOT_10_O","Carrot_C","A"
"UGP202000076-11","NASPOT_10_O","Ejumula","A"
"UGP202000076-3","NASPOT_10_O","Ejumula","A"
"UGP202000077-11","NASPOT_10_O","RAK819","A"
"UGP202000261-10","NASPOT_10_O","NASPOT_7","A"
"UGP202000076-12","NASPOT_10_O","Ejumula","A"
"UGP202000260-13","NASPOT_10_O","MPG1128","A"
"UGP202000076-13","NASPOT_10_O","Ejumula","A"
"UGP202000076-21","NASPOT_10_O","Ejumula","A"
"UGP202000076-4","NASPOT_10_O","Ejumula","A"
"UGP202000084-18","KML872","Otada","A"
"UGP202000084-6","KML872","Otada","A"
"UGP202000083-1","KML872","APA323","A"
"UGP202000086-8","KML872","NK318L","A"
"UGP202000080-9","KML872","Mayai","A"
"UGP202000083-18","KML872","APA323","A"
"UGP202000078-3","KML872","Carrot_C","A"
"UGP202000086-14","KML872","NK318L","A"
"UGP202000079-4","KML872","Ejumula","A"
"UGP202000084-4","KML872","Otada","A"
"UGP202000081-10","KML872","MPG1128","A"
"UGP202000083-10","KML872","APA323","A"
"UGP202000082-5","KML872","KBL648","A"
"UGP202000079-10","KML872","Ejumula","A"
"UGP202000080-6","KML872","Mayai","A"
"UGP202000084-10","KML872","Otada","A"
"UGP202000084-12","KML872","Otada","A"
"UGP202000078-1","KML872","Carrot_C","A"
"UGP202000086-11","KML872","NK318L","A"
"UGP202000078-7","KML872","Carrot_C","A"
"UGP202000078-5","KML872","Carrot_C","A"
"UGP202000078-6","KML872","Carrot_C","A"
"UGP202000078-4","KML872","Carrot_C","A"
"UGP202000080-3","KML872","Mayai","A"
"UGP202000080-5","KML872","Mayai","A"
"UGP202000263-4","Oguroiwe","MPG1128","A"
"UGP202000262-7","Oguroiwe","Carrot_C","A"
"UGP202000262-2","Oguroiwe","Carrot_C","A"
"UGP202000263-16","Oguroiwe","MPG1128","A"
"UGP202000262-1","Oguroiwe","Carrot_C","A"
"UGP202000263-20","Oguroiwe","MPG1128","A"
"UGP202000263-3","Oguroiwe","MPG1128","A"
"UGP202000263-11","Oguroiwe","MPG1128","A"
"UGP202000263-2","Oguroiwe","MPG1128","A"
"UGP202000263-18","Oguroiwe","MPG1128","A"
"UGP202000262-10","Oguroiwe","Carrot_C","A"
"UGP202000262-11","Oguroiwe","Carrot_C","A"
"UGP202000262-5","Oguroiwe","Carrot_C","A"
"UGP202000262-17","Oguroiwe","Carrot_C","A"
"UGP202000262-15","Oguroiwe","Carrot_C","A"
"UGP202000262-9","Oguroiwe","Carrot_C","A"
"UGP202000263-19","Oguroiwe","MPG1128","A"
"UGP202000263-9","Oguroiwe","MPG1128","A"
"UGP202000262-12","Oguroiwe","Carrot_C","A"
"UGP202000263-21","Oguroiwe","MPG1128","A"
"UGP202000263-7","Oguroiwe","MPG1128","A"
"UGP202000263-1","Oguroiwe","MPG1128","A"
"UGP202000262-14","Oguroiwe","Carrot_C","A"
"UGP202000263-14","Oguroiwe","MPG1128","A"
"UGP202000263-10","Oguroiwe","MPG1128","A"
"UGP202000093-13","APA323","LUW1274","A"
"UGP202000088-16","APA323","Ejumula","A"
"UGP202000097-2","APA323","NK318L","A"
"UGP202000097-21","APA323","NK318L","A"
"UGP202000088-17","APA323","Ejumula","A"
"UGP202000090-3","APA323","KMI61","A"
"UGP202000097-10","APA323","NK318L","A"
"UGP202000090-14","APA323","KMI61","A"
"UGP202000087-13","APA323","Carrot_C","A"
"UGP202000090-15","APA323","KMI61","A"
"UGP202000097-7","APA323","NK318L","A"
"UGP202000098-16","APA323","MLE194","A"
"UGP202000264-14","APA323","Tororo3","A"
"UGP202000097-1","APA323","NK318L","A"
"UGP202000095-6","APA323","KML872","A"
"UGP202000093-16","APA323","LUW1274","A"
"UGP202000093-1","APA323","LUW1274","A"
"UGP202000096-19","APA323","Oguroiwe","A"
"UGP202000092-7","APA323","RAK819","A"
"UGP202000094-10","APA323","NASPOT_7","A"
"UGP202000091-14","APA323","MPG1128","A"
