"geno","row_number","col_number","colgroup","rowgroup","rc.group","env","pool","status","rytha","rn","cn","check","geno.cod","check.cod"
"UGP202000099-9",2,19,"2","1","2_1","OT1NAM22","A","Regular",1.2962962962963,"2","19","Candidate","UGP202000099-9",NA
"UGP202000039-15",2,20,"2","1","2_1","OT1NAM22","A","Regular",2.96296296296296,"2","20","Candidate","UGP202000039-15",NA
"UGP202000195-16",2,21,"3","1","3_1","OT1NAM22","B","Regular",15.9259259259259,"2","21","Candidate","UGP202000195-16",NA
"UGP202000160-9",2,22,"3","1","3_1","OT1NAM22","B","Regular",13.7037037037037,"2","22","Candidate","UGP202000160-9",NA
"UGP202000092-7",2,23,"3","1","3_1","OT1NAM22","A","Regular",1.77777777777778,"2","23","Candidate","UGP202000092-7",NA
"UGP202000020-7",2,24,"3","1","3_1","OT1NAM22","A","Regular",0.777777777777778,"2","24","Candidate","UGP202000020-7",NA
"UGP202000052-13",2,25,"3","1","3_1","OT1NAM22","A","Regular",18.8888888888889,"2","25","Candidate","UGP202000052-13",NA
"UGP202000190-15",2,26,"3","1","3_1","OT1NAM22","B","Regular",11.1111111111111,"2","26","Candidate","UGP202000190-15",NA
"MPG1128",2,27,"3","1","3_1","OT1NAM22","A","Parent",26.4074074074074,"2","27","Candidate","MPG1128",NA
"UGP202000156-8",2,28,"3","1","3_1","OT1NAM22","B","Regular",3.40740740740741,"2","28","Candidate","UGP202000156-8",NA
"KML942",2,29,"3","1","3_1","OT1NAM22","B","Parent",12.962962962963,"2","29","Candidate","KML942",NA
"UGP202000138-1",2,30,"3","1","3_1","OT1NAM22","B","Regular",3,"2","30","Candidate","UGP202000138-1",NA
"UGP202000217-15",3,1,"1","1","1_1","OT1NAM22","B","Regular",9.62962962962963,"3","1","Candidate","UGP202000217-15",NA
"UGP202000006-18",3,2,"1","1","1_1","OT1NAM22","A","Regular",11.1111111111111,"3","2","Candidate","UGP202000006-18",NA
"UGP202000128-9",3,3,"1","1","1_1","OT1NAM22","B","Regular",7.77777777777778,"3","3","Candidate","UGP202000128-9",NA
"RAK808",3,4,"1","1","1_1","OT1NAM22","C","Check",40.037037037037,"3","4","Check",NA,"RAK808"
"New_Kawogo",3,5,"1","1","1_1","OT1NAM22","C","Check",22.2222222222222,"3","5","Check",NA,"New_Kawogo"
"UGP202000055-19",3,6,"1","1","1_1","OT1NAM22","A","Regular",35.1851851851852,"3","6","Candidate","UGP202000055-19",NA
"UGP202000129-11",3,7,"1","1","1_1","OT1NAM22","B","Regular",19.6666666666667,"3","7","Candidate","UGP202000129-11",NA
"MPG1128",3,8,"1","1","1_1","OT1NAM22","A","Parent",48.8888888888889,"3","8","Candidate","MPG1128",NA
"UGP202000020-8",3,9,"1","1","1_1","OT1NAM22","A","Regular",10.7407407407407,"3","9","Candidate","UGP202000020-8",NA
"UGP202000125-4",3,10,"1","1","1_1","OT1NAM22","A","Regular",25.9259259259259,"3","10","Candidate","UGP202000125-4",NA
"UGP202000091-10",3,11,"2","1","2_1","OT1NAM22","A","Regular",9.25925925925926,"3","11","Candidate","UGP202000091-10",NA
"UGP202000046-19",3,12,"2","1","2_1","OT1NAM22","A","Regular",13.3333333333333,"3","12","Candidate","UGP202000046-19",NA
"UGP202000065-5",3,13,"2","1","2_1","OT1NAM22","A","Regular",NA,"3","13","Candidate","UGP202000065-5",NA
"Ejumula",3,14,"2","1","2_1","OT1NAM22","A","Parent",14.8148148148148,"3","14","Candidate","Ejumula",NA
"Mayai",3,15,"2","1","2_1","OT1NAM22","A","Parent",7.40740740740741,"3","15","Candidate","Mayai",NA
"UGP202000142-11",3,16,"2","1","2_1","OT1NAM22","B","Regular",0.37037037037037,"3","16","Candidate","UGP202000142-11",NA
"UGP202000008-16",3,17,"2","1","2_1","OT1NAM22","A","Regular",4.81481481481481,"3","17","Candidate","UGP202000008-16",NA
"UGP202000244-11",3,18,"2","1","2_1","OT1NAM22","B","Regular",21.4814814814815,"3","18","Candidate","UGP202000244-11",NA
"UGP202000139-13",3,19,"2","1","2_1","OT1NAM22","B","Regular",10.3703703703704,"3","19","Candidate","UGP202000139-13",NA
"UGP202000274-2",3,20,"2","1","2_1","OT1NAM22","B","Regular",7.40740740740741,"3","20","Candidate","UGP202000274-2",NA
"UGP202000225-17",3,21,"3","1","3_1","OT1NAM22","B","Regular",7.55555555555555,"3","21","Candidate","UGP202000225-17",NA
"UGP202000025-10",3,22,"3","1","3_1","OT1NAM22","A","Regular",7.44444444444444,"3","22","Candidate","UGP202000025-10",NA
"UGP202000156-1",3,23,"3","1","3_1","OT1NAM22","B","Regular",21.4814814814815,"3","23","Candidate","UGP202000156-1",NA
"UGP202000201-2",3,24,"3","1","3_1","OT1NAM22","B","Regular",5.77777777777778,"3","24","Candidate","UGP202000201-2",NA
"NAROSPOT1",3,25,"3","1","3_1","OT1NAM22","C","Check",19.6296296296296,"3","25","Check",NA,"NAROSPOT1"
"NASPOT_8",3,26,"3","1","3_1","OT1NAM22","C","Check",34.0740740740741,"3","26","Check",NA,"NASPOT_8"
"Resisto",3,27,"3","1","3_1","OT1NAM22","B","Parent",5.25925925925926,"3","27","Candidate","Resisto",NA
"UGP202000051-7",3,28,"3","1","3_1","OT1NAM22","A","Regular",NA,"3","28","Candidate","UGP202000051-7",NA
"UGP202000026-9",3,29,"3","1","3_1","OT1NAM22","A","Regular",12.2962962962963,"3","29","Candidate","UGP202000026-9",NA
"UGP202000034-4",3,30,"3","1","3_1","OT1NAM22","A","Regular",17.1481481481481,"3","30","Candidate","UGP202000034-4",NA
"UGP202000200-5",4,1,"1","1","1_1","OT1NAM22","B","Regular",10,"4","1","Candidate","UGP202000200-5",NA
"Mayai",4,2,"1","1","1_1","OT1NAM22","A","Parent",6.66666666666667,"4","2","Candidate","Mayai",NA
"UGP202000195-9",4,3,"1","1","1_1","OT1NAM22","B","Regular",4.44444444444444,"4","3","Candidate","UGP202000195-9",NA
"UGP202000259-18",4,4,"1","1","1_1","OT1NAM22","A","Regular",0.740740740740741,"4","4","Candidate","UGP202000259-18",NA
"Silk_Omuyaka",4,5,"1","1","1_1","OT1NAM22","C","Check",2.22222222222222,"4","5","Check",NA,"Silk_Omuyaka"
"UGP202000076-8",4,6,"1","1","1_1","OT1NAM22","A","Regular",4.07407407407407,"4","6","Candidate","UGP202000076-8",NA
"UGP202000101-1",4,7,"1","1","1_1","OT1NAM22","A","Regular",11.6666666666667,"4","7","Candidate","UGP202000101-1",NA
"UGP202000200-9",4,8,"1","1","1_1","OT1NAM22","B","Regular",NA,"4","8","Candidate","UGP202000200-9",NA
"UGP202000030-10",4,9,"1","1","1_1","OT1NAM22","A","Regular",3.37037037037037,"4","9","Candidate","UGP202000030-10",NA
"UGP202000102-2",4,10,"1","1","1_1","OT1NAM22","A","Regular",32.962962962963,"4","10","Candidate","UGP202000102-2",NA
"UGP202000122-10",4,11,"2","1","2_1","OT1NAM22","A","Regular",2.25925925925926,"4","11","Candidate","UGP202000122-10",NA
"UGP202000093-13",4,12,"2","1","2_1","OT1NAM22","A","Regular",19.2592592592593,"4","12","Candidate","UGP202000093-13",NA
"ARA209",4,13,"2","1","2_1","OT1NAM22","B","Parent",34.4444444444444,"4","13","Candidate","ARA209",NA
"UGP202000159-7",4,14,"2","1","2_1","OT1NAM22","B","Regular",8.51851851851852,"4","14","Candidate","UGP202000159-7",NA
"UGP202000146-3",4,15,"2","1","2_1","OT1NAM22","B","Regular",2.59259259259259,"4","15","Candidate","UGP202000146-3",NA
"UGP202000101-8",4,16,"2","1","2_1","OT1NAM22","A","Regular",0.259259259259259,"4","16","Candidate","UGP202000101-8",NA
"UGP202000263-1",4,17,"2","1","2_1","OT1NAM22","A","Regular",1.7037037037037,"4","17","Candidate","UGP202000263-1",NA
"UGP202000157-11",4,18,"2","1","2_1","OT1NAM22","B","Regular",15.5555555555556,"4","18","Candidate","UGP202000157-11",NA
"UGP202000268-15",4,19,"2","1","2_1","OT1NAM22","B","Regular",7.48148148148148,"4","19","Candidate","UGP202000268-15",NA
"CIP199062.1",4,20,"2","1","2_1","OT1NAM22","B","Parent",11.4814814814815,"4","20","Candidate","CIP199062.1",NA
"UGP202000089-8",4,21,"3","1","3_1","OT1NAM22","A","Regular",2.22222222222222,"4","21","Candidate","UGP202000089-8",NA
"UGP202000150-8",4,22,"3","1","3_1","OT1NAM22","B","Regular",5.96296296296296,"4","22","Candidate","UGP202000150-8",NA
"UGP202000037-21",4,23,"3","1","3_1","OT1NAM22","A","Regular",16.2962962962963,"4","23","Candidate","UGP202000037-21",NA
"UGP202000076-21",4,24,"3","1","3_1","OT1NAM22","A","Regular",3.37037037037037,"4","24","Candidate","UGP202000076-21",NA
"NASPOT_7",4,25,"3","1","3_1","OT1NAM22","A","Parent",NA,"4","25","Candidate","NASPOT_7",NA
"UGP202000025-1",4,26,"3","1","3_1","OT1NAM22","A","Regular",18.5185185185185,"4","26","Candidate","UGP202000025-1",NA
"LUW1257",4,27,"3","1","3_1","OT1NAM22","B","Parent",NA,"4","27","Candidate","LUW1257",NA
"UGP202000046-6",4,28,"3","1","3_1","OT1NAM22","A","Regular",8.59259259259259,"4","28","Candidate","UGP202000046-6",NA
"Tororo3",4,29,"3","1","3_1","OT1NAM22","A","Parent",39.3333333333333,"4","29","Candidate","Tororo3",NA
"NASPOT_11",4,30,"3","1","3_1","OT1NAM22","B","Parent",22.2222222222222,"4","30","Candidate","NASPOT_11",NA
"UGP202000250-13",5,1,"1","1","1_1","OT1NAM22","B","Regular",21.8518518518519,"5","1","Candidate","UGP202000250-13",NA
"UGP202000241-12",5,2,"1","1","1_1","OT1NAM22","B","Regular",5.55555555555556,"5","2","Candidate","UGP202000241-12",NA
"UGP202000262-4",5,3,"1","1","1_1","OT1NAM22","A","Regular",NA,"5","3","Candidate","UGP202000262-4",NA
